timestamp_utc,timestamp_ist,open,high,low,close,tick_count,average_spread
2026-07-14 18:08:00,2026-07-14 23:38:00,4061.375,4062.245,4061.335,4061.385,148,0.701
2026-07-14 18:09:00,2026-07-14 23:39:00,4061.425,4061.425,4060.425,4060.625,165,0.721
2026-07-14 18:10:00,2026-07-14 23:40:00,4060.735,4061.255,4060.355,4060.895,162,0.7
2026-07-14 18:11:00,2026-07-14 23:41:00,4060.855,4061.135,4059.96,4060.495,177,0.701
2026-07-14 18:12:00,2026-07-14 23:42:00,4060.465,4061.505,4060.465,4061.32,154,0.701
2026-07-14 18:13:00,2026-07-14 23:43:00,4061.345,4061.345,4060.645,4061.145,142,0.7
2026-07-14 18:14:00,2026-07-14 23:44:00,4061.105,4061.89,4060.565,4061.805,196,0.701
2026-07-14 18:15:00,2026-07-14 23:45:00,4061.785,4063.165,4061.465,4062.145,245,0.7
2026-07-14 18:16:00,2026-07-14 23:46:00,4062.125,4062.295,4061.285,4061.395,199,0.701
2026-07-14 18:17:00,2026-07-14 23:47:00,4061.375,4061.955,4061.065,4061.955,165,0.7
2026-07-14 18:18:00,2026-07-14 23:48:00,4062.015,4062.565,4061.565,4062.565,204,0.7
2026-07-14 18:19:00,2026-07-14 23:49:00,4062.575,4063.285,4062.405,4062.765,167,0.701
2026-07-14 18:20:00,2026-07-14 23:50:00,4062.835,4062.865,4060.285,4060.585,191,0.718
2026-07-14 18:21:00,2026-07-14 23:51:00,4060.615,4061.065,4060.135,4060.385,151,0.7
2026-07-14 18:22:00,2026-07-14 23:52:00,4060.465,4060.72,4059.155,4059.875,207,0.7
2026-07-14 18:23:00,2026-07-14 23:53:00,4059.87,4060.075,4059.375,4059.785,145,0.701
2026-07-14 18:24:00,2026-07-14 23:54:00,4059.895,4059.895,4056.995,4057.295,188,0.701
2026-07-14 18:25:00,2026-07-14 23:55:00,4057.275,4057.835,4056.65,4057.705,156,0.701
2026-07-14 18:26:00,2026-07-14 23:56:00,4057.735,4058.775,4057.475,4058.565,187,0.7
2026-07-14 18:27:00,2026-07-14 23:57:00,4058.465,4058.975,4058.005,4058.385,155,0.722
2026-07-14 18:28:00,2026-07-14 23:58:00,4058.335,4058.725,4057.935,4058.085,181,0.701
2026-07-14 18:29:00,2026-07-14 23:59:00,4058.035,4059.215,4058.01,4058.715,166,0.72
2026-07-14 18:30:00,2026-07-15 00:00:00,4058.665,4059.635,4057.115,4057.145,187,0.7
2026-07-14 18:31:00,2026-07-15 00:01:00,4057.035,4058.025,4056.835,4057.725,163,0.7
2026-07-14 18:32:00,2026-07-15 00:02:00,4057.695,4057.885,4055.415,4056.055,202,0.702
2026-07-14 18:33:00,2026-07-15 00:03:00,4056.225,4056.445,4055.575,4056.015,128,0.701
2026-07-14 18:34:00,2026-07-15 00:04:00,4056.85,4057.195,4055.865,4056.895,131,0.701
2026-07-14 18:35:00,2026-07-15 00:05:00,4056.865,4057.065,4056.495,4056.655,106,0.701
2026-07-14 18:36:00,2026-07-15 00:06:00,4056.595,4056.635,4055.35,4055.715,184,0.701
2026-07-14 18:37:00,2026-07-15 00:07:00,4055.685,4055.715,4052.085,4052.585,258,0.715
2026-07-14 18:38:00,2026-07-15 00:08:00,4052.935,4053.505,4052.075,4053.395,296,0.7
2026-07-14 18:39:00,2026-07-15 00:09:00,4053.375,4053.695,4053.075,4053.395,171,0.701
2026-07-14 18:40:00,2026-07-15 00:10:00,4053.365,4054.495,4051.955,4052.935,287,0.724
2026-07-14 18:41:00,2026-07-15 00:11:00,4053.015,4053.015,4045.595,4047.365,411,0.71
2026-07-14 18:42:00,2026-07-15 00:12:00,4047.325,4048.66,4044.915,4047.01,412,0.728
2026-07-14 18:43:00,2026-07-15 00:13:00,4046.925,4048.065,4042.97,4043.855,387,0.715
2026-07-14 18:44:00,2026-07-15 00:14:00,4043.825,4046.895,4043.145,4046.865,324,0.677
2026-07-14 18:45:00,2026-07-15 00:15:00,4046.82,4047.485,4044.955,4047.215,263,0.701
2026-07-14 18:46:00,2026-07-15 00:16:00,4047.265,4048.875,4047.265,4048.535,233,0.715
2026-07-14 18:47:00,2026-07-15 00:17:00,4048.575,4049.215,4048.085,4048.805,229,0.701
2026-07-14 18:48:00,2026-07-15 00:18:00,4048.825,4050.235,4048.245,4049.945,200,0.703
2026-07-14 18:49:00,2026-07-15 00:19:00,4049.905,4050.715,4049.02,4049.385,265,0.706
2026-07-14 18:50:00,2026-07-15 00:20:00,4049.39,4049.65,4047.05,4048.855,267,0.705
2026-07-14 18:51:00,2026-07-15 00:21:00,4048.815,4050.925,4048.725,4050.205,239,0.702
2026-07-14 18:52:00,2026-07-15 00:22:00,4050.235,4051.515,4050.025,4050.87,170,0.7
2026-07-14 18:53:00,2026-07-15 00:23:00,4050.895,4051.445,4050.635,4051.095,138,0.725
2026-07-14 18:54:00,2026-07-15 00:24:00,4051.055,4051.755,4050.925,4051.755,156,0.721
2026-07-14 18:55:00,2026-07-15 00:25:00,4051.845,4052.605,4051.16,4052.305,209,0.704
2026-07-14 18:56:00,2026-07-15 00:26:00,4052.335,4052.465,4051.495,4052.135,197,0.702
2026-07-14 18:57:00,2026-07-15 00:27:00,4052.105,4052.795,4051.885,4052.155,198,0.701
2026-07-14 18:58:00,2026-07-15 00:28:00,4052.165,4054.615,4051.665,4054.615,273,0.705
2026-07-14 18:59:00,2026-07-15 00:29:00,4054.585,4054.585,4053.685,4054.225,210,0.705
2026-07-14 19:00:00,2026-07-15 00:30:00,4054.245,4055.005,4053.745,4054.445,265,0.7
2026-07-14 19:01:00,2026-07-15 00:31:00,4054.545,4054.565,4053.245,4053.405,176,0.7
2026-07-14 19:02:00,2026-07-15 00:32:00,4053.415,4054.32,4053.265,4053.825,264,0.704
2026-07-14 19:03:00,2026-07-15 00:33:00,4053.845,4054.835,4053.275,4054.645,280,0.701
2026-07-14 19:04:00,2026-07-15 00:34:00,4054.615,4054.615,4052.275,4053.055,224,0.703
2026-07-14 19:05:00,2026-07-15 00:35:00,4053.095,4053.185,4052.385,4052.705,159,0.701
2026-07-14 19:06:00,2026-07-15 00:36:00,4052.715,4053.905,4052.555,4053.585,180,0.701
2026-07-14 19:07:00,2026-07-15 00:37:00,4053.685,4053.835,4053.055,4053.645,149,0.701
2026-07-14 19:08:00,2026-07-15 00:38:00,4053.605,4053.695,4052.815,4053.515,150,0.701
2026-07-14 19:09:00,2026-07-15 00:39:00,4053.535,4054.915,4053.415,4054.415,217,0.701
2026-07-14 19:10:00,2026-07-15 00:40:00,4054.365,4054.655,4054.015,4054.165,183,0.718
2026-07-14 19:11:00,2026-07-15 00:41:00,4054.155,4054.445,4053.195,4054.055,210,0.701
2026-07-14 19:12:00,2026-07-15 00:42:00,4053.905,4056.785,4053.905,4056.535,267,0.701
2026-07-14 19:13:00,2026-07-15 00:43:00,4056.395,4056.995,4056.155,4056.905,200,0.701
2026-07-14 19:14:00,2026-07-15 00:44:00,4056.885,4057.435,4056.605,4056.665,138,0.701
2026-07-14 19:15:00,2026-07-15 00:45:00,4056.635,4057.015,4056.045,4056.865,206,0.701
2026-07-14 19:16:00,2026-07-15 00:46:00,4056.895,4056.995,4055.425,4056.29,210,0.701
2026-07-14 19:17:00,2026-07-15 00:47:00,4056.235,4056.345,4055.335,4056.015,186,0.7
2026-07-14 19:18:00,2026-07-15 00:48:00,4055.995,4056.695,4055.515,4055.915,229,0.702
2026-07-14 19:19:00,2026-07-15 00:49:00,4055.835,4056.595,4055.59,4056.445,236,0.702
2026-07-14 19:20:00,2026-07-15 00:50:00,4056.485,4056.495,4055.175,4055.465,180,0.701
2026-07-14 19:21:00,2026-07-15 00:51:00,4055.405,4055.52,4054.175,4054.345,164,0.701
2026-07-14 19:22:00,2026-07-15 00:52:00,4054.365,4054.935,4054.215,4054.365,145,0.7
2026-07-14 19:23:00,2026-07-15 00:53:00,4054.425,4054.805,4052.805,4052.935,130,0.701
2026-07-14 19:24:00,2026-07-15 00:54:00,4052.9,4053.355,4052.335,4052.735,190,0.702
